id,title,description,prep_time,cook_time,published,category,servings,owner
7e6c0d03-05e2-4b8d-89b6-cb33f2df0eb9,Almond Fudge Banana Cake,Make and share this Almond Fudge Banana Cake recipe from Food.com.,50,60,1999-08-20,Dessert,,
9a28c188-fdd8-4cc0-ab4e-ee70f4ec2dc8,Cherry Tomatoes on Provolone Garlic Bread,Make and share this Cherry Tomatoes on Provolone Garlic Bread recipe from Food.com.,35,70,1999-08-16,Weeknight,4,
1f07b366-af87-491d-94ff-aef3eb2e649e,Amish Friendship Bread and Starter,"Many recipes have been posted for the Amish bread, but none have included the starter, so I thought I'd send this along.  Happy baking!  Amish Friendship Bread and Starter",0,70,1999-09-06,Quick Breads,,
54c416a4-321e-4598-bbbd-4f555876f572,Light Cucumber Soup,Make and share this Light Cucumber Soup recipe from Food.com.,15,480,1999-09-07,Low Protein,4,
f2d16de5-c9a4-4fb4-b4b0-53d3dbf41c8d,Chicken Curry,"Accompany curry with  pappadams and chutney.  This particular combination of spices, which includes  cardamom and cinnamon, gives a mild heat and rich fragrance to  the dish.  You can adjust the spices to suit your taste.",65,42,1999-08-15,Curries,4,
f395b135-c5ca-48ce-921b-651235d21ff2,Appetizers-Easy Stuffed Mushrooms,"Hi,  Here is a great recipe for Stuffed Mushrooms that is easy to make and is usually goes over well.   You can make these a day ahead and bake before serving.",35,7,1999-09-07,< 60 Mins,6,
29f9bcf5-fd8b-432e-93ab-86c4573a4be3,Anzac Biscuits,"These biscuits (cookies in America) are called Anzacs because they were baked by Australian women and sent to their ANZAC soldier sons/husbands serving in Europe and Middle east during WW I. It was more like 2 months before they were received back then, so they certainly do travel well! :-)  ** Please note that 1 Australian Tablespoon =  20 mls whereas in most others countries it = 15 mls.  Anzac Biscuits",10,15,1999-08-19,< 30 Mins,12,
d2f2e5e9-c906-425b-9863-53955e93ede4,Coconut Chicken Bites,Make and share this Coconut Chicken Bites recipe from Food.com.,40,25,1999-08-26,Lunch/Snacks,2,
d98ad7bf-f68f-4276-b2ed-3969dbb33bf2,Chocolate Pound Cake,I am resending this recipe.  This is the corrected version!  I really made a  goof up on the original.  Sorry about the mistake I've made.,95,101,1999-09-06,Dessert,1,
6f44c631-9c46-4113-96b6-f34ec8fb0377,Cola Fruit and Date Loaf,"--Adopted Recipe--  The original submitter says that this fruity loaf showed up in Coke and Seven-Up cookbooks. The recipe was adapted  from &quot;Cooking With Coke&quot; - a publication of the Coca Cola Company.  Be sure to make a day ahead of time, because it is best the next day.",50,60,1999-08-23,Quick Breads,12,
642e983c-7b2a-4ee5-a557-59eef4a6d3dc,Coca-Cola Cake,Make and share this Coca-Cola Cake recipe from Food.com.,35,60,1999-08-24,Dessert,8,
3d2023f8-3c7a-4296-bd61-541d1d09f636,Chicken-Fried Steak With Cracked Pepper Gravy,Make and share this Chicken-Fried Steak With Cracked Pepper Gravy recipe from Food.com.,80,15,1999-09-12,Steak,4,
f82bcdce-61c0-4954-9221-538c952d99c8,Classic Cream Scones,"You're best off describing scones to a German by saying that they are like a   cross between a Kuchen (cake), a Plaetzchen (cookie), and a Broetchen   (roll), but are very unique and not really like anything else found in   Germany. My German husband *loves* this recipe:  Classic Cream Scones   (from Simply Scones, by Leslie Weiner and Barbara Albright)",65,20,1999-08-13,Scones,,
4802044a-d0d3-4286-80f2-dd6bced14419,Clam - Lobster Bake,"Even if you don't live at the beach, you can enjoy an impressive backyard clambake. Simply substitute a combination of greens and damp cheesecloth for seaweed, firewood for driftwood and heavy duty aluminum foil for the traditional sand covering.  About 12 lbs. of mixed greens (collard greens, kale, etc.) and 15 yards of cheesecloth will hold in moisture as food cooks. Three rolls of heavy duty 37 1/2  ft. aluminum foil will both line and seal pit",75,400,1999-08-10,Lobster,8,
db88f470-063d-435b-bcfb-177341abf4d5,Chinese Hot and Sour Pork Soup,Make and share this Chinese Hot and Sour Pork Soup recipe from Food.com.,40,,1999-09-18,Pork,4,
ada103d2-ee7e-45e5-9bbe-1da11699708f,Citrus Glazed Barbecued Pork Loin,Make and share this Citrus Glazed Barbecued Pork Loin recipe from Food.com.,15,35,1999-08-07,Pork,6,
832dad4a-51b6-4570-9ead-f9d90d977200,Citrus Chicken,Make and share this Citrus Chicken recipe from Food.com.,10,270,1999-08-25,Chicken Breast,4,
c4edc744-1cc5-4368-af9c-d5958479198b,Chinese Plum Sauce,Make and share this Chinese Plum Sauce recipe from Food.com.,10,105,1999-08-06,Sauces,,
a74db54b-5c84-4a6e-aab8-7b2b2c8e2398,Christmas Cranberry Salad,Make and share this Christmas Cranberry Salad recipe from Food.com.,480,5,1999-09-13,Low Protein,8,
51c2bdb1-5a03-4d4f-92dc-661cf304baff,Chocolate Zucchini Bread,Make and share this Chocolate Zucchini Bread recipe from Food.com.,25,60,1999-08-07,Quick Breads,10,
889c60ca-ba8c-43f3-a12a-8a33eef76e60,Chocolate Chip Muffins,When I find my bananas getting too ripe I freeze them for later use.  Just thaw them in the microwave when you want to use.  Here is a recipe for chocolate chip muffins that uses one banana. They even taste healthy :-),55,40,1999-09-12,Quick Breads,12,
fa851260-b33c-4acb-aa6f-d3637d713bcc,Chocolate Tapioca Pudding,Make and share this Chocolate Tapioca Pudding recipe from Food.com.,30,20,1999-08-14,Dessert,8,
2985c699-4510-4fad-92e5-2cf6a925d0d7,Chocolate Pudding,Make and share this Chocolate Pudding recipe from Food.com.,25,,1999-08-18,Dessert,,
f724bc54-b361-4868-9f3d-800d93f34943,Chocolate Coffee,Make and share this Chocolate Coffee recipe from Food.com.,10,,1999-08-21,Beverages,6,
5778222e-f3ea-4869-b4f1-2e4d201ff5d3,Chocolate Pudding II,Make and share this Chocolate Pudding II recipe from Food.com.,25,,1999-08-12,Dessert,6,
94c6227f-a264-429e-8ed6-9b91050d265e,Fudgy Chocolate Crinkle Cookies,Make and share this Fudgy Chocolate Crinkle Cookies recipe from Food.com.,10,12,1999-08-20,Dessert,16,
e328bb1b-02d8-4f47-bee8-b628b69859bb,Chocolate Cream Meringue Pie,Make and share this Chocolate Cream Meringue Pie recipe from Food.com.,35,19,1999-08-21,Pie,8,
897b61ec-e76d-4e02-8acc-11fc60755c80,Chicken Giblets or Livers,"Giblets :  The edible inner parts of poultry, including the gizzard, heart, liver and kidneys ....... This recipes was devised to use up all the giblets left over from home slaughtered chickens!  You can use either giblets or just livers in this recipe.  However, the cooking time for giblets is longer than that for livers.  Giblets need 15 - 20 minutes, but the livers should be added only 5 - 8 minutes before serving.  Have lots of fresh bread and rolls on hand to dip into the sauce!",25,5,1999-08-25,Chicken Livers,,
3cdd6840-53ba-4eec-aa40-b688fc8b712f,Chicken Fried Brown Rice,Make and share this Chicken Fried Brown Rice recipe from Food.com.,10,6,1999-09-13,< 30 Mins,4,
aefc3f33-5b5b-4f01-a63d-b55dd0b3c3a2,Amber and Zach's Kisses,Make and share this Amber and Zach's Kisses recipe from Food.com.,35,,1999-09-13,Dessert,,
15542ae8-c3e1-4428-ae36-b660ad95dd86,Lee's Hot Crab Dip,Make and share this Lee's Hot Crab Dip recipe from Food.com.,15,30,1999-09-01,Crab,8,
e41d0784-a3f3-4d4c-ba5c-f7ce26647d0d,Grilled Avocado Toast,Make and share this Grilled Avocado Toast recipe from Food.com.,15,15,1999-09-20,Lunch/Snacks,,
95f0d81e-5ab7-4635-bf6a-c161338b2d04,Thai Chicken Curry,Make and share this Thai Chicken Curry recipe from Food.com.,10,23,1999-09-04,Chicken Breast,4,
d2c5cdd0-a917-43d6-a80d-f47a58ddfbb0,Thai Chicken Noodles,Make and share this Thai Chicken Noodles recipe from Food.com.,35,36,1999-09-04,Chicken Breast,4,
09105c68-362e-4760-be97-fbd20202890b,Sorrel Tarragon Sauce,Make and share this Sorrel Tarragon Sauce recipe from Food.com.,25,240,1999-10-04,Weeknight,,
f3eb0379-0575-4c77-8acf-0c1c2ab711ae,Twice-Baked Potatoes (Microwave),Make and share this Twice-Baked Potatoes (Microwave) recipe from Food.com.,50,27,1999-09-15,Potato,8,
f2eb9a4e-27fb-482d-982c-654e63ea6516,Twice Baked Potatoes,Make and share this Twice Baked Potatoes recipe from Food.com.,50,105,1999-09-15,Potato,,
9bf07dc7-9232-46c0-b1e3-8fd218cbbb2f,Lemon Curried Lamb Chops,Make and share this Lemon Curried Lamb Chops recipe from Food.com.,120,20,1999-09-12,Lamb/Sheep,4,
0a7a4150-832d-48e7-9958-fb1c29a5c859,Lemon Mint Lamb Chops,Make and share this Lemon Mint Lamb Chops recipe from Food.com.,25,,1999-09-12,Lamb/Sheep,4,
8977686f-ed04-403c-aba4-db680d7676ce,Greek Spinach Triangles,Make and share this Greek Spinach Triangles recipe from Food.com.,65,60,1999-09-13,Vegetable,50,
cf2dd065-f88b-47f2-abdf-eace8473949f,Spanish Potato Omelet (Tortilla a la Espanola),Make and share this Spanish Potato Omelet (Tortilla a la Espanola) recipe from Food.com.,40,,1999-08-18,Breakfast,4,
4521910b-9627-4f2e-a23e-95643dabd1bf,Salt Cod Chowder,"Salt cod is used for cooking in Scandinavian and Spanish cooking, but isn't very well known in the United States.  Here's a tasty chowder to introduce it to the uninitiated.",60,,1999-09-10,Chowders,,
61987e59-3d56-4b7a-97cc-cc5aa6f46bd8,Blue Jimmy Pillows,Make and share this Blue Jimmy Pillows recipe from Food.com.,30,15,1999-09-10,< 60 Mins,4,
0a9ca57c-264b-4a52-b6aa-a0bd64f8fc62,Homemade Butter,Make and share this Homemade Butter recipe from Food.com.,25,370,1999-09-07,Very Low Carbs,12,
8192c750-d31d-451a-97ad-7389829b80ec,Homemade Butter II,Make and share this Homemade Butter II recipe from Food.com.,5,3,1999-10-04,Very Low Carbs,,
7f94b950-b2df-4d7e-a5ea-9f9328a19f72,Thai Citrus Chicken Salad,This is a healthy and delicious summer salad.  Great for lunch while sitting out in the garden with a a nice cold glass of white wine. :),60,,1999-09-13,Chicken,2,
1908f5cf-8403-4ac6-b9be-ff7453b9b796,Fish Chowder,"This is one of the recipes I adopted -- it's gotten 5 stars all around, so I won't change it, but I wouldn't use margarine or cooking oil -- I would use either light olive oil or unsalted butter.  I also might substitute half and half for the milk, to be a little decadent once in a while...",30,25,1999-09-10,Chowders,4,
8b04f6c5-dbc5-4373-b4e9-585d89fee998,Curry Chicken,Make and share this Curry Chicken recipe from Food.com.,20,,1999-08-11,Chicken,4,
10804250-ccbc-43aa-8505-220f35c556b4,Cheesy Stuffed Acorn Squash,"Great vegetarian version of stuffed acorn squash, full of stuff most people would have in the fridge.",10,44,1999-09-08,Vegetable,2,
d05a94ff-5a67-43ab-84b5-e0190d0c9b4b,Brown Sugar Shortbread,Make and share this Brown Sugar Shortbread recipe from Food.com.,50,,1999-09-12,Bar Cookie,42,
2d0ff7b8-40c7-4855-b7e2-2e9394201282,Oktoberfest Spinach Strudel,Make and share this Oktoberfest Spinach Strudel recipe from Food.com.,40,30,1999-09-13,Vegetable,,
c6607796-8525-4c62-9019-b85b1593a03a,Spinach Phyllo Casserole,The layers of this low-fat phyllo pastry are coated with a mixture of egg whites  and olive oil instead of melted butter.,60,45,1999-09-13,Vegetable,8,
40171f2e-da01-401e-8a3a-59e2e78237e0,Mango Salsa,Make and share this Mango Salsa recipe from Food.com.,10,,1999-09-08,Sauces,,
4908ea53-c04a-45ed-84d4-891e44449ac8,Mashed Sweet Potato Pie,Make and share this Mashed Sweet Potato Pie recipe from Food.com.,15,50,1999-09-03,Dessert,8,
bf3f2dad-c104-400e-85f5-44e93b4e69aa,Potatoes Tapas in Garlic Mayonnaise (Potatoes Aioli),"&quot;Tapas, The Little Dishes of Spain&quot; By Penelope Cases Alfred A. Knopf 1986  This book contains more than 200 recipes for tapas. The word &quot;tapa&quot; in  Spanish means top or cover( there are other meanings) Spain has many bars  one for every 120 persons. They are usually small and run by families.  Coffee, water, soft drinks and liquor. They serve food also. They have  the time and ingredients for these small dishes. In the early days tapas  were served on small dishes placed as a cover over drinks. The tapas were  small and sometimes they were free or sold for a small price. Today the  dishes are larger and expensive. (4) recipes of the most commonly found tapas all over Spain",10,10,1999-08-18,Potato,4,
5f8f07dd-df6f-471d-82a5-11949c42926d,Home-Style Meatballs (Albondigas Caseras),"The word &quot;tapa&quot; in  Spanish means top or cover (there are other meanings) Spain has many bars - one for every 120 persons. They are usually small and run by families.  Coffee, water, soft drinks and liquor. They serve food also. They have the time and ingredients for these small dishes. In the early days tapas  were served on small dishes placed as a cover over drinks. The tapas were  small and sometimes they were free or sold for a small price. Today the  dishes are larger and expensive. (4) recipes of the most commonly found  tapas all over Spain.",20,45,1999-08-18,Meat,,
03f59320-993a-4fec-a26d-22f4f4e15167,Apple Crisp II,Make and share this Apple Crisp II recipe from Food.com.,50,45,1999-08-28,Dessert,,
4be8eda2-9dda-4a0f-a6c6-33bb1f651fe5,Lemon Chicken,Make and share this Lemon Chicken recipe from Food.com.,55,,1999-09-02,Chicken Breast,4,
f6904bec-7166-4a93-83cf-216f293b11a6,Zucchini Frittatas II,Make and share this Zucchini Frittatas II recipe from Food.com.,50,15,1999-10-04,Breakfast,3,
4fcaf271-9ed6-4699-a241-ae22178a7c5b,Hazelnut Shortbread Cookies,Make and share this Hazelnut Shortbread Cookies recipe from Food.com.,35,480,1999-09-12,Dessert,36,
1f40c408-28a7-4715-84a7-2ce6c4e81468,Sweet Potato Pecan Pie,Make and share this Sweet Potato Pecan Pie recipe from Food.com.,65,,1999-08-30,Pie,8,
cd2b384f-47ae-492a-b61f-259b399bca23,Yellow Squash Frittata,Make and share this Yellow Squash Frittata recipe from Food.com.,5,10,1999-08-18,Breakfast,4,
79c54d98-fd80-458d-a2dc-47d1323f923d,Yellow Squash Puffs,I have made this recipe a thousand times and we just love it.  It came up for adoption and I jumped on it.  Goes great with just about any main dish.,25,,1999-08-18,Vegetable,4,
9c9f9fec-3c3f-4fbd-9b63-4e43a02b0bd2,Sweet Potato-Pecan Pie,Make and share this Sweet Potato-Pecan Pie recipe from Food.com.,75,,1999-10-04,Dessert,12,
a517d60b-1106-469c-ba4f-7a85f10824c8,Corn Salsa,This delightful corn salsa is a perfect salsa for dipping and can be used to boost flavor or garnish a southwestern meal.  Chilling time not included in preparation time.,10,,1999-09-02,Sauces,,
7d83af95-e66f-4fcf-b88f-18f7fb27610c,Zesty Sweet Potato Pie,Make and share this Zesty Sweet Potato Pie recipe from Food.com.,30,21,1999-09-03,Dessert,8,
a88d32f8-11af-4f6e-b67e-55ec8c7254ea,Avocado Salsa,Make and share this Avocado Salsa recipe from Food.com.,15,,1999-09-02,Sauces,,
f623ed5f-322a-4ede-aab1-4c4e3bf31acf,Iced Mochaccino Smoothie,Make and share this Iced Mochaccino Smoothie recipe from Food.com.,10,,1999-08-30,Smoothies,2,
cde7e7aa-57f9-4adb-88da-01bdc4ed13e8,Iced Jazzberry Java,Make and share this Iced Jazzberry Java recipe from Food.com.,30,,1999-08-30,Beverages,10,
93c1922f-6dd6-44c9-a0e8-489c8c38f3d1,Chocolate Coffee Ice Cream Soda,Make and share this Chocolate Coffee Ice Cream Soda recipe from Food.com.,0,,1999-08-30,Frozen Desserts,1,
b875964d-92cd-4f89-8c3d-86a7572f4dea,Double Chocolate Chunk Biscotti,Make and share this Double Chocolate Chunk Biscotti recipe from Food.com.,85,60,1999-08-15,Dessert,32,
1f6064ba-ff83-48f4-9c41-ba374532aa7d,Spaetzle - Hungarian,"Various English spellings abound, but my Hungarian family has always pronounced this as shpetz-leh.  I prefer spaetzle topped with Chicken Paprikash or Beef Goulash (anything with lots of Hungarian paprika!!).",15,2,1999-09-05,Hungarian,,
94091d39-c9f9-4764-b589-b81588f27cd2,Spaetzle - German,Make and share this Spaetzle - German recipe from Food.com.,10,15,1999-09-05,German,,
81b92236-d0a3-4e9b-9cb6-2339a2c05424,Iced Cafe Au Lait,Make and share this Iced Cafe Au Lait recipe from Food.com.,15,,1999-08-30,Beverages,4,
9cc9caee-f303-4a25-8898-46a1dedd920b,Coffee Punch with Ice Cream Floats,Make and share this Coffee Punch with Ice Cream Floats recipe from Food.com.,25,,1999-08-30,Punch Beverage,6,
5b6fd1fd-238f-4dc6-b6fa-19433076a2da,Cafe Latte,Make and share this Cafe Latte recipe from Food.com.,15,,1999-08-30,Beverages,1,
2c30d284-c4b8-48cf-906c-42453035cda6,Iced Coffee Cream,Make and share this Iced Coffee Cream recipe from Food.com.,45,,1999-08-30,Dessert,4,
99c964c3-7f5e-4fa9-b6de-1ae0104a092b,Moussaka,"This recipe is not for the faint-hearted cook. It's very  good, and it takes a lot of work. Don't waste it on someone  who would be just as satisfied with steak and salad!  This recipe is sized for a large cake pan. If you cut the recipe in half it will  fit into an ordinary lasagna-size baking dish.  Approximate measurement OK for eggplant, tomato mixture.",120,130,1999-08-23,Vegetable,12,
63b9b0d4-9639-45e1-8ac9-d5c86e926cc8,Sweetened Iced Coffee,Make and share this Sweetened Iced Coffee recipe from Food.com.,15,,1999-08-30,Beverages,6,
7f580ce8-c8c9-4a3d-92e3-bc33e8b40b8a,Golden Apple Bars,"This is my adopted recipe, They are a very good nice shortbread crust and the apple filling is great. I only used 1/2 cup brown sugar in with the apples as I used Gala apples. Perhaps with a less sweet apple you would use the 3/4 cup. I used the food processor to chop up 4 apples. I had about 2-1/2 cups apples. Between 2 to 3 cups would be fine.",80,37,1999-08-26,Bar Cookie,,
f00a720c-805a-40b7-9c4f-a5fd1250cdfb,Glazed Pineapple With Macadamia Nut Crunch,Make and share this Glazed Pineapple With Macadamia Nut Crunch recipe from Food.com.,30,1,1999-08-26,Dessert,8,
b1de718f-95e9-45eb-bde5-5128d11fed95,Tomato Salad,Make and share this Tomato Salad recipe from Food.com.,0,20,1999-08-09,Vegetable,4,
5aafd819-febf-4972-a4cc-9716a225c0fb,"Vidalia Onion, Tomato and Basil Salad","Make and share this Vidalia Onion, Tomato and Basil Salad recipe from Food.com.",0,20,1999-08-09,Onions,6,
59e66dfc-2ae6-4eb5-b9bb-9cf83587f68b,Blue Mountain Blueberry Pie,Make and share this Blue Mountain Blueberry Pie recipe from Food.com.,45,45,1999-09-03,Pie,8,
419ca1b2-4df3-4cb5-be18-3e51e7564c1b,Remarkable Rhubarb Bites,Make and share this Remarkable Rhubarb Bites recipe from Food.com.,30,45,1999-09-10,Bar Cookie,24,
e536e5b6-1cf1-4509-a1ca-9fdca432ad49,Fruit Loop Cookies and Orange Icing,I adopted this recipe from Recipezaar in February 2005.  I made several changes based on the review posted by Jenna Marie.  I'm really happy with the changes I've made to the recipe.  These cookies are great with or without icing and would be perfect for a child's party.,55,,1999-09-10,Dessert,36,
e1b92c3c-c3a7-4307-8e61-320b3edeab32,Gado Gado: Indonesian Salad,Make and share this Gado Gado: Indonesian Salad recipe from Food.com.,40,5,1999-09-08,Indonesian,6,
f212e571-997b-405e-ab0b-0a8faf664fc3,Greek Lemon Potatoes,Make and share this Greek Lemon Potatoes recipe from Food.com.,30,75,1999-08-23,Potato,6,
45172918-0ae2-45c8-a58b-113b13aed405,Lentil Dal,Make and share this Lentil Dal recipe from Food.com.,5,38,1999-08-19,Lentil,6,
061d10ce-954c-459b-9af9-a6378262ac86,Basic Crepes II,Make and share this Basic Crepes II recipe from Food.com.,5,60,1999-09-15,Breakfast,10,
78195872-6fcc-4f93-901f-82f7969affe0,Mississippi Mud Pie,Make and share this Mississippi Mud Pie recipe from Food.com.,45,30,1999-08-24,Pie,8,
f0795aa0-03dc-4023-a1f3-2efff40b9a83,Cappuccino Coffee Mix,Make and share this Cappuccino Coffee Mix recipe from Food.com.,20,,1999-08-30,Beverages,15,
1ded6704-46fc-488c-b417-b915c9abbb16,Whipped Cappuccino,Make and share this Whipped Cappuccino recipe from Food.com.,25,,1999-08-30,Beverages,2,
07fb66cf-1139-4ce8-9829-9dbfc17a764b,Maple Salmon,"Serve wilted  spinach, roasted new potatoes and a glass of stout or full bodied Chardonnay,  like Cave Spring or Penfold's Koonunga Hill.",10,134,1999-08-17,High Protein,2,
3778ee22-10a8-4c12-be77-4837fa8529dc,Irish Dark Soda Bread,Make and share this Irish Dark Soda Bread recipe from Food.com.,15,45,1999-08-28,Quick Breads,16,
